id_gta;dt_emissao_gta;cod_produtor_origem;cod_produtor_destino;qtd;distancia_km;data_seconds
5015229;2016-10-04 10:49:04.823;352650;3134344;2;17.24;1475578144
5701508;2017-04-28 15:13:46.293;313900;313900;248;0.0;1493392426
7280273;2018-07-03 14:23:36.644;3143330;3143330;324;0.0;1530627816
7298199;2018-07-07 17:13:50.134;3143330;3143330;328;0.0;1530983630
6234573;2017-09-21 09:50:23.931;87718;3143330;258;90.0;1505987423
8826251;2019-07-31 15:30:42.754;3153013;3153013;960;0.0;1564587042
10440416;2020-09-08 10:38:04.372;3224508;31599;12;769.0;1599561484
17598075;2025-01-20 10:36:02.744;3164829;3164829;701;0.0;1737369362
9071645;2019-09-27 13:16:18.664;3186573;3164836;54;0.0;1569590178
4220593;2016-03-01 10:08:13.308;35013;3164836;12;79.5;1456826893
9144646;2019-10-15 13:59:00.424;344083;3167625;5;804.16;1571147940
10698177;2020-11-11 11:09:38.445;3073688;3170274;40;832.0;1605092978
4433828;2016-04-23 14:31:01.557;3170274;3170274;453;104.22;1461421861
14826633;2023-07-13 15:23:45.320;3324984;3175080;325;0.0;1689261825
14592279;2023-05-29 12:25:36.355;3176222;3176222;535;63.37;1685363136
12719531;2022-03-18 15:53:34.593;3191846;3191846;374;0.0;1647618814
11922211;2021-08-26 13:49:00.513;3201368;3201368;246;317.64;1629985740
12038022;2021-09-27 14:00:10.503;3202284;3202284;111;0.0;1632751210
17214942;2024-11-05 08:05:46.070;3101935;3202284;9;219.02;1730793946
10230048;2020-07-20 14:46:19.575;3197118;32072;15;398.03;1595256379
13560428;2022-09-23 09:42:10.509;331480;32072;160;23.68;1663926130
45374;2012-05-14 16:29:22.103;32390;32072;144;0.0;1337012962
7467426;2018-08-20 10:09:08.457;32390;32072;136;23.68;1534759748
1325951;2013-08-19 12:51:07.667;32390;32072;79;23.68;1376916667
12595663;2022-02-17 14:19:00.878;3214518;3214518;228;47.57;1645107540
8577284;2019-06-06 12:45:15.513;256970;3221729;204;733.55;1559825115
17187244;2024-10-30 10:50:31.565;3224889;3224889;145;0.0;1730285431
9318239;2019-11-27 16:35:24.587;68539;3225302;135;0.0;1574872524
15547175;2023-12-15 14:46:14.907;3232128;3232128;303;0.0;1702651574
13990636;2023-01-16 16:26:38.953;21207;3235051;250;100.55;1673886398
14459108;2023-05-02 09:33:04.986;315758;3246928;3;0.0;1683019984
8788765;2019-07-23 14:39:23.695;450605;3246928;3;0.0;1563892763
3176036;2015-04-24 13:40:39.342;3124613;325159;189;813.39;1429882839
2832686;2015-01-08 16:45:24.268;198884;325159;188;0.0;1420735524
8396707;2019-04-24 15:29:39.920;378430;325159;110;513.92;1556119779
15265190;2023-10-18 12:10:24.334;3267124;3253115;131;55.08;1697631024
14009627;2023-01-18 15:41:43.545;364322;3253115;31;161.31;1674056503
14520104;2023-05-14 15:18:36.680;3253115;3253115;140;0.0;1684077516
11353912;2021-04-20 10:34:02.383;3119179;3253444;164;475.67;1618914842
14107504;2023-02-10 13:43:19.052;80656;3253444;188;85.1;1676036599
14111614;2023-02-12 17:56:52.535;3259100;3259100;215;0.0;1676224612
171328;2021-12-09 00:00:00.000;23169;3259100;101;1201.13;1639008000
17898957;2025-03-14 12:41:40.638;3318623;3268177;91;80.92;1741956100
11084718;2021-02-16 09:06:05.036;3161922;3268177;7;707.88;1613466365
17976304;2025-03-28 09:29:49.938;450599;3270368;18;51.71;1743154189
9973882;2020-05-21 13:48:47.716;165730;3270368;103;0.0;1590068927
14109353;2023-02-10 16:06:57.561;3270368;3270368;45;32.86;1676045217
16974034;2024-09-19 15:48:41.143;3071767;3270368;91;0.0;1726760921
14797374;2023-07-07 16:10:04.491;3267072;3270502;91;475.05;1688746204
17021149;2024-09-27 16:54:16.559;182710;3278917;1;961.85;1727456056
13354372;2022-08-05 07:35:10.331;3218183;3278917;90;615.27;1659684910
12942597;2022-05-09 14:17:07.084;3309680;3278917;113;0.0;1652105827
10519201;2020-09-25 14:59:04.071;424305;328013;108;377.23;1601045944
5828446;2017-06-06 15:44:07.469;270905;328013;277;0.0;1496763847
16240814;2024-05-09 18:38:46.020;3280369;3280369;1396;519.86;1715279926
16240813;2024-05-09 18:37:48.297;3280369;3280369;623;0.0;1715279868
16240809;2024-05-09 18:34:52.892;3280369;3280369;1346;0.0;1715279692
7899864;2018-12-17 10:33:29.695;76206;328073;339;0.0;1545042809
13191511;2022-07-01 12:47:32.882;3207503;328073;395;0.0;1656679652
12294696;2021-12-03 16:10:54.157;3136912;3309006;37;0.0;1638547854
17058458;2024-10-04 15:29:07.741;97143;3310463;345;0.0;1728055747
11731250;2021-07-12 10:05:15.886;150173;332031;6;121.44;1626084315
5328539;2017-01-15 20:31:56.499;215236;335587;20;931.72;1484512316
6774706;2018-02-26 13:32:40.638;34395;34395;476;0.0;1519651960
16150636;2024-04-24 18:47:57.394;3272208;344083;500;126.88;1713984477
2821450;2015-01-05 16:05:38.221;332930;344751;20;660.2;1420473938
3511808;2015-08-04 16:44:03.550;351366;351366;972;0.0;1438706643
12226735;2021-11-19 10:22:32.663;80775;353187;237;38.02;1637317352
80196;2012-05-28 16:04:34.834;353187;353187;208;0.0;1338221074
13592097;2022-09-30 15:22:44.353;360081;360081;322;0.0;1664551364
185171;2012-06-27 15:01:18.592;212147;360095;25;1165.79;1340809278
17107360;2024-10-15 14:43:07.042;360095;360095;362;0.0;1729003387
9067580;2019-09-26 16:38:00.070;360095;360095;564;0.0;1569515880
16500547;2024-06-24 21:57:03.177;70736;361540;1;736.86;1719266223
11654857;2021-06-24 08:47:28.037;417078;361540;200;184.14;1624524448
104536;2012-06-04 13:07:29.724;497885;375782;139;0.0;1338815249
9177097;2019-10-22 16:30:07.797;396312;396312;795;0.0;1571761807
7433825;2018-08-09 21:33:07.603;459922;397255;25;911.52;1533850387
17849986;2025-03-06 13:49:52.263;3203830;400629;10;0.0;1741268992
8245361;2019-03-21 09:44:33.364;125160;400629;5;15.84;1553161473
5354448;2017-01-23 15:19:39.260;410474;410474;323;0.0;1485184779
21191;2014-07-01 00:00:00.000;6026;417738;45;1487.0;1404172800
4712055;2016-07-05 14:09:21.316;419453;419453;738;0.0;1467727761
17405817;2024-12-09 13:56:15.313;422052;422052;865;0.0;1733752575
16851353;2024-08-28 10:35:52.605;202447;422052;65;944.04;1724841352
15837652;2024-02-22 13:33:33.335;180936;422613;19;337.37;1708608813
11843302;2021-08-06 15:53:16.543;98242;422613;34;166.65;1628265196
8787592;2019-07-23 12:50:30.315;3194060;422613;40;335.04;1563886230
16361831;2024-05-29 16:20:39.776;425804;425804;547;241.41;1716999639
16400277;2024-06-06 14:28:44.680;435231;435231;1977;0.0;1717684124
6352736;2017-10-24 14:20:25.729;433820;436367;16;39.06;1508854825
850020;2013-03-22 13:25:43.974;453705;4368;120;1388.89;1363958743
6055832;2017-08-04 08:08:22.184;4368;4368;699;0.0;1501834102
5506606;2017-03-10 14:20:34.964;437646;437646;1082;0.0;1489155634
13639174;2022-10-13 15:38:02.751;438806;438806;259;0.0;1665675482
11526876;2021-05-27 13:37:50.937;3134002;441164;200;546.02;1622122670
1457545;2013-10-02 15:00:18.955;21191;443942;100;520.27;1380726018
11093883;2021-02-18 10:19:43.164;72561;444111;130;0.0;1613643583
11920596;2021-08-26 10:18:31.483;14861;444111;52;177.11;1629973111
3992325;2015-12-23 14:22:34.128;75184;444111;120;51.18;1450880554
15206129;2023-10-31 16:51:59.670;3317926;453609;715;70.93;1698771119
14056926;2023-01-31 07:14:31.483;147543;458663;43;239.14;1675149271
3049377;2015-03-20 10:06:03.551;502471;472902;300;72.15;1426845963
3686157;2015-09-29 16:14:33.711;472902;472902;225;0.0;1443543273
3673883;2015-09-25 14:05:38.587;449736;474566;100;620.53;1443189938
1377588;2013-09-04 16:02:48.245;478165;478165;328;148.12;1378310568
260846;2023-08-14 00:00:00.000;74404;479721;8;2380.99;1691971200
340642;2025-01-17 00:00:00.000;78588;488164;8;2182.46;1737072000
11384799;2021-04-26 13:57:08.762;195265;493172;300;0.0;1619445428
16768397;2024-08-12 15:19:59.236;325826;494654;25;666.53;1723475999
11992508;2021-09-15 10:20:31.433;3140538;494654;150;0.0;1631701231
18072282;2025-04-12 13:42:55.102;494869;494869;384;50.25;1744465375
1584035;2013-11-22 16:01:19.751;3096252;494869;398;50.25;1385136079
14351115;2023-04-10 15:12:18.499;170831;499603;400;167.8;1681139538
7793121;2018-11-20 14:25:19.968;88962;499603;400;1218.24;1542723919
7804386;2018-11-23 10:37:55.637;88962;499603;200;1218.24;1542969475
5441665;2017-02-17 15:23:27.172;504881;504881;304;34.42;1487345007
10415447;2020-09-01 13:37:04.407;512622;512622;356;0.0;1598967424
17024791;2024-09-30 07:03:56.432;512622;512622;541;0.0;1727679836
2674823;2014-11-12 09:36:31.864;65083;56897;588;55.2;1415784991
14060949;2023-01-31 15:05:57.735;57521;57521;1103;0.0;1675177557
14751908;2023-06-29 14:35:52.068;57521;57521;1117;0.0;1688049352
15804465;2024-02-15 15:33:00.002;353135;60277;21;708.81;1708011180
5860091;2017-06-14 10:01:45.398;60363;62158;2;0.0;1497434505
10503233;2020-09-22 15:46:00.579;62397;62158;10;27.2;1600789560
708807;2013-01-29 13:20:56.635;61596;62158;25;0.0;1359465656
4755024;2016-07-15 14:13:22.406;3074759;62158;28;27.2;1468592002
3034957;2015-03-16 14:29:14.092;62638;62638;1454;0.0;1426516154
17889083;2025-03-13 10:25:41.621;3079828;69101;3;1165.6;1741861541
14251158;2023-03-17 15:46:18.386;3193871;69292;58;682.62;1679067978
18052207;2025-04-09 16:09:42.300;68143;69292;125;0.0;1744214982
14405002;2023-04-20 08:01:30.401;69443;69443;631;0.0;1681977690
2653786;2014-10-30 13:03:15.113;69443;69443;525;0.0;1414674195
254597;2012-07-19 14:01:58.162;437646;70910;89;0.0;1342706518
3467619;2015-07-21 15:32:27.779;448411;70910;4;106.96;1437492747
9777686;2020-03-17 16:01:54.885;71193;71193;1464;0.0;1584460914
1194813;2013-07-08 13:41:41.847;72115;72115;1000;79.12;1373290901
3157101;2015-04-21 09:46:06.071;73933;73933;1000;0.0;1429609566
9204412;2019-10-29 07:41:44.667;75855;75855;1474;70.69;1572334904
7295197;2018-07-06 09:45:40.591;75855;75855;2919;70.69;1530870340
202691;2012-07-03 09:36:40.705;75855;75855;2148;70.69;1341308200
4619076;2016-06-13 12:47:24.844;121186;76891;130;535.06;1465822044
13339133;2022-08-01 15:55:10.095;76891;76891;700;0.0;1659369310
13582091;2022-09-28 16:34:20.511;229236;78717;3;844.62;1664382860
9287665;2019-11-21 07:48:35.202;78717;78717;1223;0.0;1574322515
14482198;2023-05-05 15:19:33.085;471139;78954;791;0.0;1683299973
13869931;2022-12-13 11:17:58.744;3255127;79030;84;0.0;1670930278
4690481;2016-06-29 16:46:42.521;79928;79928;1070;0.0;1467218802
3172058;2015-04-24 08:23:26.862;87771;87771;2538;0.0;1429863806
3135596;2015-04-15 09:02:09.472;97036;97036;2131;115.18;1429088529
9785406;2020-03-19 09:49:01.513;98207;98207;962;0.0;1584611341
7489655;2018-08-24 14:30:04.949;98207;98207;500;0.0;1535121004
