id_gta,dt_emissao_gta,id_produtor_origem,id_produtor_destino,id_tipo_finalidade_gta,municipio_origem,estado_origem,municipio_destino,estado_destino,qt_animais,data_seconds,repeticao_origem,flag_binaria,qt_animais_norm,data_seconds_norm,cluster
15230702,2023-10-10 09:46:29.311,715668.0,447467,8,3112604,MG,3159803,MG,42,1696931189,1,1,0.33333333333333337,0.9034556810543548,1
15322347,2023-10-30 13:23:07.980,694233.0,447467,8,3131406,MG,3159803,MG,40,1698672187,1,1,0.3170731707317074,0.9078371492907791,1
15230681,2023-10-10 09:45:13.227,715668.0,447467,8,3112604,MG,3159803,MG,50,1696931113,1,1,0.39837398373983746,0.9034554897895828,1
15852334,2024-02-26 13:18:09.452,747301.0,447467,8,3112604,MG,3159803,MG,83,1708953489,1,1,0.6666666666666667,0.9337115030476943,1
17495147,2024-12-26 11:05:30.274,770202.0,447467,8,3131406,MG,3159803,MG,43,1735211130,1,1,0.34146341463414637,0.9997925783877712,1
15322361,2023-10-30 13:23:41.773,694233.0,447467,8,3131406,MG,3159803,MG,46,1698672221,1,1,0.3658536585365854,0.9078372348565984,1
8263549,2019-03-26 08:46:46.013,694233.0,447467,18,3159803,MG,3134202,MG,40,1553590006,1,1,0.3170731707317074,0.5427172768253237,1
8263565,2019-03-26 08:47:55.083,694233.0,447467,18,3159803,MG,3134202,MG,40,1553590075,1,1,0.3170731707317074,0.5427174504736039,1
322517,2012-08-14 11:10:54.530,459944.0,447467,2,3170206,MG,3134202,MG,11,1344942654,0,0,0.0813008130081301,0.017626641797615417,0
322517,2012-08-14 11:10:54.530,459944.0,447467,2,3170206,MG,3134202,MG,14,1344942654,1,1,0.10569105691056911,0.017626641797615417,1
322517,2012-08-14 11:10:54.530,459944.0,447467,2,3170206,MG,3134202,MG,6,1344942654,1,1,0.04065040650406504,0.017626641797615417,1
17495136,2024-12-26 11:04:15.346,770202.0,447467,8,3131406,MG,3159803,MG,43,1735211055,1,1,0.34146341463414637,0.9997923896396412,1
360471,2012-08-24 00:00:00.000,459944.0,447467,8,3170206,MG,3134202,MG,9,1345766400,1,1,0.06504065040650407,0.019699715364547288,1
8263573,2019-03-26 08:48:25.202,694233.0,447467,18,3159803,MG,3134202,MG,40,1553590105,1,1,0.3170731707317074,0.542717525972856,1
17500309,2024-12-27 09:59:10.213,694233.0,447467,8,3131406,MG,3159803,MG,33,1735293550,1,1,0.2601626016260163,0.9999999999999996,1
342803,2012-08-21 11:41:33.497,234976.0,447467,8,3170206,MG,3134202,MG,34,1345549293,0,0,0.2682926829268293,0.019153334826255364,0
382724,2012-09-03 22:06:39.843,459944.0,447467,8,3170206,MG,3134202,MG,30,1346709999,1,1,0.23577235772357727,0.022074415993968977,1
521077,2012-10-30 13:01:08.871,459944.0,447467,8,3170206,MG,3134202,MG,25,1351602068,1,1,0.19512195121951223,0.03438600103536116,1
521077,2012-10-30 13:01:08.871,459944.0,447467,8,3170206,MG,3134202,MG,6,1351602068,1,1,0.04065040650406504,0.03438600103536116,1
521152,2012-10-30 13:13:06.132,81293.0,447467,8,3170206,MG,3134202,MG,1,1351602786,0,0,0.0,0.03438780798413088,0
360472,2012-08-24 00:00:00.000,459944.0,447467,8,3170206,MG,3134202,MG,15,1345766400,1,1,0.11382113821138212,0.019699715364547288,1
245623,2023-05-19 00:00:00.000,73375.0,447467,2,5108600,MT,3159803,MG,25,1684454400,0,0,0.19512195121951223,0.8720560730731486,0
245623,2023-05-19 00:00:00.000,73375.0,447467,2,5108600,MT,3159803,MG,14,1684454400,1,1,0.10569105691056911,0.8720560730731486,1
245623,2023-05-19 00:00:00.000,73375.0,447467,2,5108600,MT,3159803,MG,10,1684454400,1,1,0.07317073170731708,0.8720560730731486,1
245623,2023-05-19 00:00:00.000,73375.0,447467,2,5108600,MT,3159803,MG,35,1684454400,1,1,0.27642276422764234,0.8720560730731486,1
245625,2023-05-19 00:00:00.000,73375.0,447467,2,5108600,MT,3159803,MG,31,1684454400,1,1,0.2439024390243903,0.8720560730731486,1
245625,2023-05-19 00:00:00.000,73375.0,447467,2,5108600,MT,3159803,MG,52,1684454400,1,1,0.41463414634146345,0.8720560730731486,1
246176,2023-05-22 00:00:00.000,73375.0,447467,2,5108600,MT,3159803,MG,21,1684713600,1,1,0.1626016260162602,0.8727083866122114,1
246176,2023-05-22 00:00:00.000,73375.0,447467,2,5108600,MT,3159803,MG,34,1684713600,1,1,0.2682926829268293,0.8727083866122114,1
246176,2023-05-22 00:00:00.000,73375.0,447467,2,5108600,MT,3159803,MG,25,1684713600,1,1,0.19512195121951223,0.8727083866122114,1
